price,bedrooms,bathrooms,sqft_living,floors,waterfront,view,condition,sqft_basement,city,house_age,is_renovated,sqft_living_bathrooms,zipcode
522000.0,4.0,2.25,1800,1.0,0,0,4,440,Kirkland,34,0,4050.0,98033
770000.0,3.0,1.75,1720,1.0,0,0,3,0,Seattle,60,1,3010.0,98122
499950.0,3.0,1.0,980,1.0,0,0,3,220,Seattle,73,1,980.0,98115
751000.0,4.0,2.5,3110,2.0,0,0,3,0,Redmond,10,1,7775.0,98052
330000.0,5.0,3.0,2100,1.0,0,0,3,850,Burien,1,1,6300.0,98168
465000.0,3.0,1.5,2020,1.0,0,0,4,830,Kirkland,58,0,3030.0,98033
850000.0,4.0,1.75,2350,1.0,0,0,4,0,Mercer Island,53,1,4112.5,98040
947500.0,4.0,2.25,3290,1.5,0,0,4,0,Mercer Island,46,0,7402.5,98040
302000.0,5.0,2.25,2180,2.0,0,0,3,0,Maple Valley,28,0,4905.0,98038
500000.0,2.0,2.25,1290,3.0,0,0,3,0,Seattle,7,0,2902.5,98107
201000.0,3.0,1.0,1460,1.0,0,0,4,0,Kent,45,0,1460.0,98042
265000.0,2.0,1.0,1290,2.0,0,0,3,0,Redmond,6,0,1290.0,98053
870300.0,4.0,2.5,2350,1.5,0,0,4,660,Seattle,104,0,5875.0,98103
339000.0,3.0,1.0,1080,1.0,0,0,4,0,Shoreline,59,1,1080.0,98155
690000.0,4.0,2.5,2670,2.0,0,0,4,0,Issaquah,25,0,6675.0,98029
788000.0,4.0,3.25,3680,2.0,0,0,3,840,Issaquah,11,0,11960.0,98027
315275.0,3.0,1.75,1440,1.0,0,0,3,480,Seattle,63,1,2520.0,98125
505000.0,4.0,1.75,1940,1.0,0,0,5,910,Seattle,92,1,3395.0,98122
368000.0,3.0,1.0,1280,1.0,0,0,3,0,Woodinville,46,1,1280.0,98072
947500.0,3.0,2.75,2980,1.5,1,2,5,800,Burien,97,0,8195.0,98166
156000.0,3.0,1.0,970,1.0,0,0,3,0,Federal Way,55,1,970.0,98003
610000.0,4.0,3.0,2110,1.5,0,2,4,470,Seattle,84,0,6330.0,98136
420000.0,2.0,2.5,1480,3.0,0,0,3,0,Redmond,5,0,3700.0,98052
192000.0,2.0,1.0,700,1.0,0,0,3,0,Normandy Park,61,0,700.0,98166
910000.0,3.0,2.0,2700,1.0,0,0,4,1350,Seattle,52,0,5400.0,98115
840000.0,4.0,2.75,2600,1.5,0,0,3,980,Seattle,78,0,7150.0,98109
300000.0,2.0,1.75,1360,1.0,0,0,3,500,Seattle,39,0,2380.0,98177
505000.0,4.0,2.5,2780,1.0,0,0,3,1190,Kirkland,36,0,6950.0,98034
110000.0,3.0,1.0,1250,1.0,0,0,5,0,Maple Valley,69,0,1250.0,98038
746000.0,3.0,2.5,2620,2.0,0,0,3,0,Bellevue,22,0,6550.0,98006
211000.0,3.0,1.5,1350,1.0,0,0,5,0,Burien,73,0,2025.0,98166
675000.0,4.0,3.0,2400,1.0,0,0,4,1200,Seattle,50,0,7200.0,98107
734200.0,4.0,2.5,2760,1.5,0,0,5,1080,Seattle,86,1,6900.0,98107
615000.0,2.0,1.75,2040,1.5,1,3,4,0,Vashon,95,1,3570.0,98070
630000.0,4.0,2.0,1770,2.0,0,0,5,0,Seattle,103,1,3540.0,98199
301500.0,2.0,1.5,830,2.0,0,0,3,0,Seattle,9,0,1245.0,98136
369000.0,2.0,2.5,980,2.0,0,0,3,310,Seattle,5,0,2450.0,98116
635000.0,3.0,2.5,1570,3.0,0,0,3,0,Seattle,4,0,3925.0,98103
1033888.0,4.0,3.25,3270,2.0,0,0,3,160,Redmond,0,0,10627.5,98052
383000.0,4.0,2.5,2160,2.0,0,0,3,0,Maple Valley,4,0,5400.0,98038
1050000.0,4.0,3.75,3280,2.0,0,0,3,960,Kirkland,6,0,12300.0,98033
455000.0,4.0,2.5,3360,2.0,0,0,3,0,Renton,13,0,8400.0,98058
819900.0,5.0,2.75,3150,2.0,0,0,3,0,Redmond,1,1,8662.5,98052
625000.0,3.0,3.5,1810,2.0,0,0,4,370,Seattle,5,0,6335.0,98122
651000.0,4.0,2.5,2740,2.0,0,0,3,0,Sammamish,21,0,6850.0,98074
480000.0,5.0,4.75,3830,1.0,0,0,3,1700,Woodinville,38,0,18192.5,98077
757000.0,3.0,3.25,3190,2.0,0,0,3,0,Issaquah,7,0,10367.5,98029
460000.0,3.0,2.25,2350,1.0,0,0,3,960,Kenmore,37,1,5287.5,98028
267345.0,4.0,2.25,2510,1.0,0,0,4,900,Federal Way,42,0,5647.5,98023
530000.0,2.0,2.0,1680,1.0,0,0,3,0,Redmond,8,0,3360.0,98053
449500.0,3.0,2.0,1770,1.0,0,0,4,810,Shoreline,60,1,3540.0,98133
289000.0,3.0,1.0,1090,1.0,0,0,5,0,Renton,33,0,1090.0,98056
373000.0,5.0,2.5,3001,2.0,0,0,3,0,Kent,8,0,7502.5,98030
525000.0,5.0,3.0,2450,2.0,0,0,3,0,Seattle,20,0,7350.0,98117
777000.0,3.0,3.25,3610,2.0,0,0,3,1170,Issaquah,11,0,11732.5,98027
550000.0,4.0,2.0,2250,1.0,0,0,5,1050,Bellevue,58,0,4500.0,98005
523000.0,3.0,1.5,1240,1.0,0,0,4,0,Bellevue,57,1,1860.0,98008
628000.0,4.0,2.0,2260,1.0,0,0,3,830,Seattle,56,1,4520.0,98115
581000.0,4.0,1.75,2090,1.0,0,0,4,1020,Redmond,51,0,3657.5,98052
245000.0,5.0,1.75,2020,1.0,0,0,3,800,Seattle,52,1,3535.0,98168
415000.0,3.0,1.75,1960,1.0,0,0,5,980,Seattle,103,1,3430.0,98108
225000.0,3.0,1.5,1250,1.0,0,0,3,0,Kent,47,1,1875.0,98030
287000.0,3.0,2.25,1490,1.0,0,0,4,320,Duvall,27,0,3352.5,98019
799200.0,6.0,3.0,2890,2.5,0,0,3,600,Seattle,108,1,8670.0,98102
239950.0,3.0,1.0,1900,1.5,0,0,4,0,Auburn,72,1,1900.0,98001
591000.0,3.0,1.75,1680,1.0,0,0,5,810,Seattle,92,1,2940.0,98122
700000.0,3.0,2.5,2030,2.0,0,0,4,0,Bellevue,39,0,5075.0,98008
475000.0,4.0,2.5,3740,1.0,0,0,3,1480,Renton,10,1,9350.0,98058
575000.0,3.0,1.75,1580,1.0,0,0,4,400,Seattle,63,1,2765.0,98118
771000.0,3.0,2.25,1780,1.5,0,0,4,390,Seattle,87,0,4005.0,98122
155000.0,2.0,1.0,910,1.0,0,0,3,0,Seattle,71,1,910.0,98118
550000.0,7.0,4.0,3440,2.0,0,0,3,0,Seattle,44,1,13760.0,98103
645000.0,3.0,2.5,1740,2.0,0,0,4,0,Bellevue,39,0,4350.0,98008
464000.0,5.0,2.5,3400,1.0,0,0,4,1700,Shoreline,55,0,8500.0,98133
1050000.0,4.0,3.25,4400,2.0,0,0,3,0,Sammamish,11,0,14300.0,98075
350000.0,3.0,2.5,2010,2.0,0,0,3,0,Vashon,37,1,5025.0,98070
591000.0,4.0,2.25,2710,2.0,0,0,4,0,Woodinville,37,0,6097.5,98077
717000.0,3.0,1.5,1310,1.0,0,0,3,220,Seattle,58,1,1965.0,98117
225000.0,4.0,1.5,1950,1.5,0,0,3,0,SeaTac,75,1,2925.0,98188
225000.0,3.0,1.0,1040,1.0,0,0,3,0,Seattle,67,1,1040.0,98168
345000.0,3.0,1.75,1090,1.0,0,0,3,0,Kirkland,46,1,1907.5,98034
230000.0,2.0,0.75,650,1.0,0,0,4,0,Seattle,83,0,487.5,98133
385000.0,3.0,2.0,1480,1.0,0,2,3,740,Seattle,71,1,2960.0,98146
90000.0,2.0,1.0,790,1.0,0,0,3,0,Kirkland,41,1,790.0,98034
860000.0,4.0,2.5,3560,1.0,0,2,3,1270,Bellevue,28,0,8900.0,98004
675000.0,4.0,2.5,3000,2.0,0,0,3,0,Newcastle,8,0,7500.0,98056
975000.0,4.0,2.5,3490,2.0,0,3,3,0,Bellevue,14,0,8725.0,98006
780000.0,3.0,1.75,2340,1.0,0,0,4,0,Mercer Island,47,0,4095.0,98040
370000.0,3.0,1.75,1650,1.0,0,0,5,590,Shoreline,63,0,2887.5,98155
665000.0,3.0,2.0,1940,1.5,0,0,5,790,Seattle,70,0,3880.0,98107
675000.0,5.0,3.0,3410,1.0,0,0,4,1540,Redmond,46,0,10230.0,98052
620000.0,3.0,1.0,1710,1.5,0,0,3,0,Seattle,105,1,1710.0,98103
1105000.0,4.0,1.5,2740,2.0,0,0,5,810,Seattle,109,0,4110.0,98109
450000.0,3.0,2.75,1250,2.0,0,0,3,210,Seattle,4,0,3437.5,98116
450000.0,3.0,2.25,2450,1.0,0,0,4,0,Covington,36,1,5512.5,98042
530000.0,3.0,1.75,1690,1.0,0,0,4,0,Bellevue,56,1,2957.5,98005
635000.0,4.0,1.75,1950,1.0,0,0,4,580,Bellevue,45,0,3412.5,98007
580000.0,5.0,2.0,2290,1.0,0,0,3,1100,Bellevue,50,1,4580.0,98008
285000.0,3.0,1.0,1090,1.0,0,0,4,0,Burien,41,0,1090.0,98166
375000.0,3.0,1.0,1190,1.0,0,0,4,0,Normandy Park,61,1,1190.0,98166
560000.0,3.0,1.0,1440,2.0,0,0,3,0,Seattle,104,1,1440.0,98103
405000.0,4.0,1.75,2180,1.0,0,0,3,1090,Lake Forest Park,58,1,3815.0,98155
413000.0,4.0,1.0,1410,1.0,0,0,3,600,Seattle,89,1,1410.0,98126
287600.0,3.0,2.5,1950,2.0,0,0,3,0,Auburn,24,1,4875.0,98001
225000.0,3.0,1.0,1660,1.0,0,0,3,560,Auburn,51,1,1660.0,98001
319000.0,3.0,1.0,1390,1.0,0,0,4,0,Woodinville,46,0,1390.0,98077
322500.0,3.0,2.0,1350,1.0,0,0,3,0,Duvall,25,0,2700.0,98019
570000.0,3.0,2.0,1530,1.0,0,0,4,0,Seattle,77,0,3060.0,98115
465000.0,3.0,1.5,1270,1.0,0,0,3,0,Seattle,64,1,1905.0,98115
435000.0,4.0,2.25,2140,2.0,0,0,3,0,Snoqualmie,12,0,4815.0,98065
502000.0,4.0,2.5,2040,2.0,0,0,3,0,Kenmore,2,1,5100.0,98028
525000.0,3.0,3.5,2876,2.0,0,0,3,516,Woodinville,7,0,10066.0,98072
525000.0,3.0,2.5,1580,2.0,0,0,3,570,Seattle,6,0,3950.0,98112
660000.0,4.0,3.5,3400,2.0,0,0,3,0,Snoqualmie,2,1,11900.0,98065
870000.0,4.0,2.5,3520,2.5,0,0,3,870,Seattle,8,0,8800.0,98136
650000.0,4.0,2.5,2210,2.0,0,0,3,0,Seattle,1,1,5525.0,98117
505000.0,4.0,2.5,2790,2.0,0,0,3,0,Renton,5,0,6975.0,98059
330000.0,3.0,2.5,1450,1.0,0,0,3,610,Seattle,7,0,3625.0,98106
385000.0,4.0,1.75,1620,1.0,0,0,4,760,Seattle,67,1,2835.0,98133
306000.0,3.0,1.5,1220,3.0,0,0,3,0,Seattle,7,0,1830.0,98133
546000.0,3.0,1.75,2000,1.0,0,0,4,890,Seattle,93,0,3500.0,98117
925000.0,4.0,2.5,2190,2.5,0,0,5,0,Mercer Island,56,0,5475.0,98040
542000.0,4.0,1.75,1900,1.0,0,0,4,950,Bellevue,59,1,3325.0,98006
800000.0,3.0,1.0,1700,1.5,0,0,4,0,Seattle,108,1,1700.0,98122
620000.0,5.0,2.5,2540,2.0,0,0,5,780,Seattle,85,0,6350.0,98117
175000.0,2.0,1.0,1170,1.0,0,2,3,0,Des Moines,103,1,1170.0,98198
740000.0,5.0,5.0,5774,1.0,0,2,3,1284,Federal Way,30,0,28870.0,98003
345000.0,3.0,2.25,2120,2.0,0,0,3,0,Renton,30,0,4770.0,98059
510000.0,3.0,1.75,2170,1.0,0,0,3,720,Sammamish,28,0,3797.5,98074
530000.0,4.0,2.75,2450,1.0,0,0,5,0,Normandy Park,40,0,6737.5,98166
155000.0,2.0,1.0,700,1.0,0,0,5,0,Renton,62,1,700.0,98056
266000.0,3.0,2.5,1780,1.0,0,0,4,380,Kent,28,0,4450.0,98030
257200.0,3.0,2.0,1850,1.0,0,0,4,700,Auburn,62,0,3700.0,98002
265000.0,3.0,2.0,1570,1.0,0,0,3,0,Auburn,16,1,3140.0,98092
372220.0,3.0,1.0,1290,1.0,0,0,3,310,Seattle,63,1,1290.0,98136
337500.0,5.0,2.0,1700,1.0,0,0,3,700,Seattle,58,1,3400.0,98108
582500.0,2.0,1.5,1159,1.0,0,0,3,0,Seattle,66,1,1738.5,98199
489200.0,3.0,2.75,1850,1.5,0,0,5,0,Kirkland,49,0,5087.5,98034
405100.0,2.0,1.0,840,1.0,0,0,3,0,Seattle,67,1,840.0,98199
372977.0,3.0,2.5,1690,2.0,0,0,3,540,Issaquah,0,0,4225.0,98029
310000.0,3.0,1.0,1050,1.0,0,0,3,0,Kenmore,61,0,1050.0,98028
538000.0,3.0,1.75,1400,1.5,0,0,4,300,Seattle,110,0,2450.0,98117
317000.0,3.0,2.5,1840,2.0,0,0,3,0,Maple Valley,2,1,4600.0,98038
702500.0,3.0,1.5,2360,2.0,0,0,5,430,Seattle,88,0,3540.0,98103
565000.0,4.0,2.5,2240,2.0,0,0,4,0,Newcastle,25,0,5600.0,98059
723000.0,4.0,2.5,2700,2.0,0,0,3,0,Issaquah,10,1,6750.0,98029
766950.0,3.0,2.5,3030,1.5,0,0,4,0,Woodinville,22,0,7575.0,98077
682000.0,3.0,1.75,1830,1.5,0,2,5,0,Seattle,111,0,3202.5,98122
325000.0,3.0,2.5,2220,2.0,0,0,4,0,Kent,24,0,5550.0,98031
543000.0,3.0,2.5,2090,1.0,0,0,3,730,Shoreline,52,1,5225.0,98133
525000.0,3.0,1.75,1600,1.5,0,0,3,0,Seattle,90,1,2800.0,98115
364000.0,4.0,1.75,2010,1.0,0,0,4,670,Shoreline,57,1,3517.5,98133
394475.0,2.0,1.0,830,1.0,0,0,3,0,Seattle,59,1,830.0,98117
316000.0,4.0,2.5,2010,2.0,0,0,3,0,Auburn,19,0,5025.0,98092
339950.0,3.0,1.0,1050,1.5,0,0,4,0,Seattle,108,1,1050.0,98144
486000.0,4.0,2.5,2150,1.0,0,0,3,730,Fall City,36,0,5375.0,98024
160000.0,3.0,1.0,860,1.0,0,0,4,0,Kent,51,0,860.0,98030
930000.0,3.0,2.5,3100,1.0,0,0,3,0,Shoreline,60,1,7750.0,98177
139000.0,3.0,1.0,1100,1.0,0,0,3,0,Auburn,36,0,1100.0,98001
562000.0,3.0,1.5,1830,1.0,0,0,4,0,Bellevue,57,1,2745.0,98008
299000.0,2.0,1.75,1250,1.0,0,0,4,0,Federal Way,64,1,2187.5,98003
511000.0,3.0,2.5,1820,2.0,0,0,3,0,Kenmore,9,0,4550.0,98028
499000.0,3.0,2.0,2090,1.5,0,0,3,0,Ravensdale,55,1,4180.0,98051
356000.0,3.0,3.5,2100,2.0,0,0,3,0,Tukwila,34,0,7350.0,98168
470000.0,4.0,2.5,2310,2.0,0,0,3,0,Duvall,23,0,5775.0,98019
715000.0,4.0,2.25,2060,1.0,0,0,5,700,Seattle,73,0,4635.0,98199
1120000.0,4.0,2.25,4470,2.0,0,0,3,0,Woodinville,26,1,10057.5,98072
458000.0,3.0,1.0,1660,1.0,0,0,4,600,Seattle,74,1,1660.0,98125
966000.0,5.0,4.5,3810,2.0,0,0,3,0,Sammamish,6,0,17145.0,98075
305495.0,3.0,1.75,2110,2.0,0,0,4,0,Renton,48,0,3692.5,98059
543000.0,2.0,2.0,2370,1.5,0,0,3,770,Issaquah,22,0,4740.0,98027
340000.0,3.0,2.25,1970,2.0,0,0,3,0,Renton,17,0,4432.5,98056
633100.0,4.0,2.5,2470,2.0,0,0,3,0,Redmond,21,0,6175.0,98053
310000.0,3.0,1.0,1480,1.0,0,0,3,0,Shoreline,62,1,1480.0,98133
349950.0,5.0,3.0,2257,1.0,0,0,3,894,SeaTac,9,0,6771.0,98188
267800.0,2.0,1.0,700,1.0,0,0,4,0,Shoreline,65,1,700.0,98155
234000.0,4.0,2.0,1630,1.0,0,0,4,580,Auburn,39,0,3260.0,98092
740000.0,4.0,2.5,3430,2.0,0,0,3,0,Kirkland,14,0,8575.0,98034
607500.0,5.0,1.75,2220,1.5,0,0,3,800,Seattle,91,1,3885.0,98199
223000.0,3.0,1.75,1340,1.0,0,0,4,0,Auburn,41,0,2345.0,98002
400000.0,2.0,1.0,980,1.0,0,0,4,120,Seattle,96,1,980.0,98117
802000.0,3.0,2.5,2580,2.0,0,0,3,0,Redmond,28,0,6450.0,98052
253000.0,4.0,2.5,2230,2.0,0,0,3,0,Covington,8,0,5575.0,98042
1058000.0,4.0,2.0,2290,1.0,0,0,4,0,Bellevue,59,1,4580.0,98004
300000.0,3.0,1.0,1260,1.0,0,0,3,0,Seattle,68,0,1260.0,98115
625000.0,4.0,2.75,1680,1.0,0,0,4,0,Redmond,48,0,4620.0,98052
707000.0,4.0,3.25,3200,2.0,0,0,3,0,Sammamish,10,1,10400.0,98075
950000.0,4.0,2.5,3320,2.0,0,0,3,0,Bellevue,19,0,8300.0,98006
420000.0,4.0,2.5,3040,2.0,0,0,3,0,Auburn,15,0,7600.0,98092
498000.0,4.0,2.75,2270,1.0,0,0,4,980,Kirkland,41,0,6242.5,98034
450000.0,3.0,2.5,2910,2.0,0,0,3,0,Federal Way,25,0,7275.0,98003
955000.0,5.0,2.25,2510,2.0,0,0,3,0,Mercer Island,42,1,5647.5,98040
215000.0,2.0,1.0,1240,1.0,0,0,3,0,Tukwila,47,1,1240.0,98168
437000.0,3.0,2.75,2580,2.0,0,0,3,0,Renton,6,0,7095.0,98059
773000.0,3.0,2.75,2470,2.0,0,0,3,0,Issaquah,7,0,6792.5,98029
256883.0,3.0,2.5,1690,2.0,0,0,3,0,Federal Way,11,0,4225.0,98023
592500.0,4.0,2.5,2240,1.0,0,0,3,0,Sammamish,31,1,5600.0,98074
252350.0,3.0,2.0,1650,1.0,0,0,3,490,Renton,35,1,3300.0,98058
370000.0,4.0,2.5,2710,2.0,0,0,3,0,Auburn,16,1,6775.0,98092
465750.0,3.0,1.5,1260,1.0,0,0,3,0,Bellevue,55,1,1890.0,98008
185000.0,3.0,1.0,1150,1.0,0,0,3,0,Seattle,82,0,1150.0,98168
582800.0,4.0,2.75,2550,1.0,0,0,3,1110,Sammamish,28,0,7012.5,98074
245000.0,3.0,1.75,1490,1.0,0,0,4,0,Kent,24,0,2607.5,98030
302000.0,4.0,1.75,2020,1.0,0,0,4,1010,Renton,51,0,3535.0,98059
451555.0,2.0,1.0,1320,1.0,0,1,3,0,Seattle,102,1,1320.0,98116
250000.0,3.0,1.0,1230,1.0,0,0,4,0,Renton,57,1,1230.0,98055
255000.0,4.0,2.5,2070,2.0,0,0,3,0,Federal Way,25,0,5175.0,98003
840000.0,4.0,1.75,2930,1.0,0,3,3,1260,Seattle,67,1,5127.5,98117
190000.0,3.0,1.0,1090,1.0,0,0,3,0,Federal Way,47,1,1090.0,98003
349950.0,3.0,1.0,1400,1.0,0,0,3,0,Seattle,57,1,1400.0,98125
613000.0,4.0,2.0,1550,1.5,0,0,3,0,Seattle,105,1,3100.0,98103
300000.0,3.0,1.0,1220,1.0,0,0,4,0,Shoreline,59,1,1220.0,98133
455000.0,3.0,2.5,1870,1.0,0,0,3,400,Kirkland,34,0,4675.0,98034
335000.0,3.0,2.25,2150,2.0,0,0,3,0,Tukwila,23,0,4837.5,98188
197500.0,3.0,1.0,980,1.5,0,0,3,0,Seattle,111,1,980.0,98118
412500.0,3.0,1.5,1490,1.0,0,0,4,0,Redmond,51,0,2235.0,98052
395300.0,3.0,1.5,1120,1.0,0,0,3,0,Bellevue,59,1,1680.0,98007
342400.0,3.0,2.25,1180,2.0,0,0,3,0,Kenmore,28,0,2655.0,98028
749400.0,4.0,2.5,3240,2.0,0,0,3,0,Redmond,29,0,8100.0,98052
316500.0,4.0,2.5,2150,2.0,0,0,4,0,Kent,23,0,5375.0,98031
390000.0,3.0,2.5,2240,2.0,0,0,3,0,Kenmore,18,0,5600.0,98028
225000.0,3.0,2.0,1400,1.0,0,0,3,250,Renton,35,1,2800.0,98058
550000.0,3.0,2.25,1980,1.0,0,0,4,0,Redmond,34,0,4455.0,98053
280000.0,3.0,1.0,1330,1.5,0,0,3,0,North Bend,55,1,1330.0,98045
575000.0,2.0,1.0,1490,1.0,0,0,3,400,Seattle,68,0,1490.0,98112
1000000.0,5.0,4.25,3920,2.0,0,0,3,1020,Bellevue,24,1,16660.0,98004
585000.0,5.0,1.75,2000,2.0,0,0,4,0,Seattle,93,0,3500.0,98103
620000.0,4.0,2.5,2680,2.0,0,0,3,0,Issaquah,25,0,6700.0,98029
204700.0,4.0,2.0,1670,1.0,0,0,3,0,Auburn,47,1,3340.0,98001
695000.0,4.0,3.0,3150,2.0,0,0,3,0,Sammamish,13,0,9450.0,98075
689900.0,4.0,3.25,2740,2.0,0,0,3,680,Issaquah,11,0,8905.0,98027
375000.0,4.0,1.75,1890,1.0,0,0,4,640,Shoreline,54,1,3307.5,98133
475000.0,7.0,3.5,2870,1.0,0,0,3,1350,Seattle,53,1,10045.0,98125
215000.0,3.0,1.0,1160,1.0,0,0,4,0,Maple Valley,45,0,1160.0,98038
790000.0,3.0,1.75,1790,1.0,0,2,3,440,Seattle,74,1,3132.5,98199
350000.0,3.0,1.75,1680,1.0,0,0,4,610,Duvall,74,1,2940.0,98019
695000.0,3.0,2.5,4560,2.0,0,0,4,760,Sammamish,28,0,11400.0,98074
263000.0,3.0,2.25,1590,2.0,0,0,4,0,Federal Way,23,0,3577.5,98003
400000.0,3.0,1.0,1630,1.0,0,0,5,0,Shoreline,61,0,1630.0,98155
525000.0,3.0,2.5,2700,2.0,0,0,3,0,Woodinville,23,0,6750.0,98072
349950.0,3.0,2.5,1700,2.0,0,0,3,0,Renton,20,0,4250.0,98055
1085000.0,4.0,3.25,3740,1.0,0,0,3,1740,Woodinville,26,1,12155.0,98077
744000.0,4.0,3.0,1980,2.5,0,0,3,0,Seattle,73,1,5940.0,98136
312500.0,2.0,1.0,880,1.0,0,0,3,0,Seattle,95,1,880.0,98106
240000.0,3.0,2.0,1400,1.0,0,0,3,700,Shoreline,66,1,2800.0,98133
495000.0,4.0,2.0,2050,1.5,0,0,5,840,Seattle,73,0,4100.0,98144
580050.0,3.0,2.5,2360,2.0,0,3,3,0,Seattle,18,0,5900.0,98115
640000.0,4.0,2.0,2560,1.0,0,0,4,670,Seattle,67,1,5120.0,98115
417000.0,3.0,1.5,1340,1.0,0,0,4,0,Bellevue,58,0,2010.0,98006
174950.0,3.0,1.0,1060,1.0,0,0,5,0,Covington,44,0,1060.0,98042
295000.0,3.0,1.5,850,1.0,0,0,3,0,Seattle,28,0,1275.0,98106
423000.0,4.0,1.75,1880,1.0,0,0,3,870,Kirkland,38,0,3290.0,98034
839000.0,3.0,1.0,1230,1.0,0,0,3,0,Bellevue,59,1,1230.0,98004
343000.0,4.0,1.75,2290,1.0,0,0,3,950,Seattle,54,1,4007.5,98146
467000.0,3.0,1.0,1660,1.0,0,0,5,660,Seattle,68,0,1660.0,98133
512500.0,3.0,2.5,1840,2.0,0,0,4,0,Seattle,17,0,4600.0,98116
575000.0,4.0,2.5,3020,1.0,0,0,3,1420,Lake Forest Park,35,1,7550.0,98155
465000.0,3.0,1.75,1410,1.0,0,0,3,0,Seattle,90,1,2467.5,98133
270000.0,3.0,1.0,1010,1.0,0,0,3,0,Renton,45,1,1010.0,98059
340000.0,3.0,1.75,1960,1.0,0,0,3,980,Seattle,66,1,3430.0,98106
765000.0,5.0,3.75,3580,2.0,0,0,3,390,Issaquah,15,0,13425.0,98027
497000.0,4.0,2.5,2240,2.0,0,0,3,0,Seattle,19,0,5600.0,98118
803100.0,4.0,2.5,3310,2.0,0,0,3,0,Redmond,10,1,8275.0,98052
344000.0,3.0,2.5,1232,3.0,0,0,3,0,Seattle,7,0,3080.0,98125
828950.0,4.0,3.5,3930,2.0,0,1,3,1110,Issaquah,1,1,13755.0,98027
386380.0,3.0,2.5,1720,2.0,0,0,3,0,Redmond,4,0,4300.0,98053
312000.0,3.0,2.25,1490,2.0,0,0,3,270,Seattle,5,0,3352.5,98106
720000.0,3.0,2.5,3150,2.0,0,0,3,0,Fall City,7,0,7875.0,98024
914500.0,4.0,2.5,3950,3.0,0,0,3,0,Sammamish,1,1,9875.0,98075
819995.0,5.0,2.75,3030,2.0,0,0,3,0,Newcastle,1,1,8332.5,98056
252700.0,2.0,1.5,1070,1.0,0,0,3,0,Kent,29,0,1605.0,98030
